da ba de men neng jiang ren jia si ？	大 巴 的 门 能 将 人 夹 死 ？
zong ti shang kan ， ci ci yu xue bing dong tian qi shu jian guo yi lai suo han jian ， ju you fan wei guang qiang du da chi xu shi jian chang zai hai zhong deng te dian 。	总 体 上 看 ， 此 次 雨 雪 冰 冻 天 气 属 建 国 以 来 所 罕 见 ， 具 有 范 围 广 强 度 大 持 续 时 间 长 灾 害 重 等 特 点 。
er qie lai yi ci ， chi jing yi ci ！	而 且 来 一 次 ， 吃 惊 一 次 ！
zhi tang lao ren shuo he cha dang yu wa wu zhi chuang xia ， qing quan lv cha ， yong su ya de tao ci cha ju ， tong er san ren gong yin ， de ban ri zhi xian ke di shi nian chen meng 。	知 堂 老 人 说 喝 茶 当 于 瓦 屋 纸 窗 下 ， 清 泉 绿 茶 ， 用 素 雅 的 陶 瓷 茶 具 ， 同 二 三 人 共 饮 ， 得 半 日 之 闲 可 抵 十 年 尘 梦 。
ji zhe le jie dao ， di fang zheng fu de zhu yao ling dao men zui wei guan zhu guo wu yuan ji gou gai ge zhong de ding zhi zhe yi xiang ， yin wei zhong yang bu wei zui zhong que ding de quan li bian jie zhi jie guan hu di fang de li yi 。	记 者 了 解 到 ， 地 方 政 府 的 主 要 领 导 们 最 为 关 注 国 务 院 机 构 改 革 中 的 定 职 这 一 项 ， 因 为 中 央 部 委 最 终 确 定 的 权 力 边 界 直 接 关 乎 地 方 的 利 益 。
zhong xin jian tou zheng quan fen xi shi li chen yan shuo ， yin hua shui hui diao hou ， da xiao fei jie jin zai rong zi reng ran shi shi chang zui dan xin de wen ti 。	中 信 建 投 证 券 分 析 师 李 晨 燕 说 ， 印 花 税 回 调 后 ， 大 小 非 解 禁 再 融 资 仍 然 是 市 场 最 担 心 的 问 题 。
da xue sheng ruo ji xu zai xin chou shang yao qiu guo gao ， bu jin bu xian shi ， fan er hui zeng jia zi ji de jiu ye nan du 。	大 学 生 若 继 续 在 薪 酬 上 要 求 过 高 ， 不 仅 不 现 实 ， 反 而 会 增 加 自 己 的 就 业 难 度 。
zhuan jia wu fa jie shi ta de ya chi wei he you zhe me qiang da de li liang 。	专 家 无 法 解 释 他 的 牙 齿 为 何 有 这 么 强 大 的 力 量 。
ni zhe yang an wu tian ri di zhe teng xia qu zong you yi tian ni hui ba zi ji gao beng kui de ， ni ceng jing xiang wo miao shu guo ni liu li shi suo de sheng huo ， wo ben lai ying gai shi yao hen xin dui ni de ， ke dao di you teng xi qi lai 。	你 这 样 暗 无 天 日 地 折 腾 下 去 总 有 一 天 你 会 把 自 己 搞 崩 溃 的 ， 你 曾 经 向 我 描 述 过 你 流 离 失 所 的 生 活 ， 我 本 来 应 该 是 要 狠 心 对 你 的 ， 可 到 底 又 疼 惜 起 来 。
yu shi ， wo bu zhi tian gao di hou ， tong le san ge ma feng wo yi ， zhi yi le quan wei dui yu mei guo ying pian si xiang nei han de jie du er ， gong ran ti chu fan dui pei yin zhun que shuo ， ying gai shi ti chang kan yuan ban san ， cong li lun shang han wei e gao 。	于 是 ， 我 不 知 天 高 地 厚 ， 捅 了 三 个 马 蜂 窝 一 ， 质 疑 了 权 威 对 于 美 国 影 片 思 想 内 涵 的 解 读 二 ， 公 然 提 出 反 对 配 音 准 确 说 ， 应 该 是 提 倡 看 原 版 三 ， 从 理 论 上 捍 卫 恶 搞 。
cun zhi shu li chang hua zhe yang qiang diao li feng rong dang xuan de zhong yao xing 。	村 支 书 李 长 华 这 样 强 调 李 丰 蓉 当 选 的 重 要 性 。
na sheng wu zhi yao lai shuo ， fa lv fa gui de men jian ， zhuan li deng deng de yao qiu ke neng geng duo ， ru guo shi pin xing ye zheng ce dui tou zi zhe bu li ， ta men ye hui dong yao 。	拿 生 物 制 药 来 说 ， 法 律 法 规 的 门 槛 ， 专 利 等 等 的 要 求 可 能 更 多 ， 如 果 视 频 行 业 政 策 对 投 资 者 不 利 ， 他 们 也 会 动 摇 。
yin ci ， mi ni hu xing bu hui cheng wei xi an fang chan kai fa de zhu liu 。	因 此 ， 迷 你 户 型 不 会 成 为 西 安 房 产 开 发 的 主 流 。
ru dui nong chan pin ti gong you hui dai kuan jia qiang nong ye bao xian ， yin xing gei san nong dai kuan yu yi yi ding de li lv you hui jin xing nong ye bu tie deng fang shi ， du neng hen hao de cu jin nong chan pin sheng chan ， kuo da gong gei cong er wen ding ren men de yu qi ， zhe zhong diao kong yao bi huo bi zheng ce geng wei zhi jie 。	如 对 农 产 品 提 供 优 惠 贷 款 加 强 农 业 保 险 ， 银 行 给 三 农 贷 款 予 以 一 定 的 利 率 优 惠 进 行 农 业 补 贴 等 方 式 ， 都 能 很 好 的 促 进 农 产 品 生 产 ， 扩 大 供 给 从 而 稳 定 人 们 的 预 期 ， 这 种 调 控 要 比 货 币 政 策 更 为 直 接 。
yao shi zhe yang de hua ， shang jia de ren ai zhi xin you shi luo he chu ？	要 是 这 样 的 话 ， 商 家 的 仁 爱 之 心 又 失 落 何 处 ？
hen you yi si de shi ， tai bei zai di yi shi jian hui ying de ren ， jing ran shi zong tong fu fa yan ren er bu shi ma ying jiu 。	很 有 意 思 的 是 ， 台 北 在 第 一 时 间 回 应 的 人 ， 竟 然 是 总 统 府 发 言 人 而 不 是 马 英 九 。
fan bing bing yi wei duo nian de peng you tou lu ， han guo zhi pian fang yuan ben yi jing yao qing fan bing bing can jia gai pian zai han guo de xin wen fa bu hui he shou ying shi ， fan bing bing ye yu kuai di da ying le 。	范 冰 冰 一 位 多 年 的 朋 友 透 露 ， 韩 国 制 片 方 原 本 已 经 邀 请 范 冰 冰 参 加 该 片 在 韩 国 的 新 闻 发 布 会 和 首 映 式 ， 范 冰 冰 也 愉 快 地 答 应 了 。
